id,old_category,new_category
787,书籍,学习/书籍
789,书籍,学习/书籍
795,书籍,学习/书籍
803,书籍,学习/书籍
808,书籍,学习/书籍
809,书籍,学习/书籍
810,书籍,学习/书籍
819,书籍,学习/书籍
838,书籍,学习/书籍
856,书籍,学习/书籍
878,书籍,学习/书籍
884,书籍,学习/书籍
3852,书籍,学习/书籍
4517,书籍,学习/书籍
4524,书籍,学习/书籍
4533,书籍,学习/书籍
4536,书籍,学习/书籍
4545,书籍,学习/书籍
4554,书籍,学习/书籍
4561,书籍,学习/书籍
4572,书籍,学习/书籍
4578,书籍,学习/书籍
4587,书籍,学习/书籍
5423,办公,学习/工具
6190,办公,学习/工具
6203,办公,学习/工具
6208,办公,学习/工具
6219,办公,学习/工具
6223,办公,学习/工具
6227,办公,学习/工具
6250,办公,学习/工具
6257,办公,学习/工具
6273,办公,学习/工具
6293,办公,学习/工具
6306,办公,学习/工具
6311,办公,学习/工具
6330,办公,学习/工具
6332,办公,学习/工具
6349,办公,学习/工具
6664,办公,学习/工具
379,购物,其他/_未分类
702,购物,其他/_未分类
750,购物,其他/_未分类
952,购物,其他/_未分类
1277,购物,其他/_未分类
1299,购物,其他/_未分类
1522,购物,其他/_未分类
2384,购物,其他/_未分类
2575,购物,其他/_未分类
2817,购物,其他/_未分类
3054,购物,其他/_未分类
3180,购物,其他/_未分类
3673,购物,其他/_未分类
3813,购物,其他/_未分类
4042,购物,其他/_未分类
4142,购物,其他/_未分类
4279,购物,其他/_未分类
4280,购物,其他/_未分类
4282,购物,其他/_未分类
4328,购物,其他/_未分类
4339,购物,其他/_未分类
4360,购物,其他/_未分类
4415,购物,其他/_未分类
5628,购物,其他/_未分类
5725,购物,其他/_未分类
5760,购物,其他/_未分类
5827,购物,其他/_未分类
6078,购物,其他/_未分类
6643,购物,其他/_未分类
6647,购物,其他/_未分类
6648,购物,其他/_未分类
6649,购物,其他/_未分类
6652,购物,其他/_未分类
6669,购物,其他/_未分类
6672,购物,其他/_未分类
6675,购物,其他/_未分类
6679,购物,其他/_未分类
6697,购物,其他/_未分类
6711,购物,其他/_未分类
6717,购物,其他/_未分类
6718,购物,其他/_未分类
6719,购物,其他/_未分类
6722,购物,其他/_未分类
6723,购物,其他/_未分类
6727,购物,其他/_未分类
6729,购物,其他/_未分类
6731,购物,其他/_未分类
6733,购物,其他/_未分类
6734,购物,其他/_未分类
6735,购物,其他/_未分类
6736,购物,其他/_未分类
6738,购物,其他/_未分类
6745,购物,其他/_未分类
6767,购物,其他/_未分类
6773,购物,其他/_未分类
6778,购物,其他/_未分类
6781,购物,其他/_未分类
6784,购物,其他/_未分类
6789,购物,其他/_未分类
6790,购物,其他/_未分类
6791,购物,其他/_未分类
6792,购物,其他/_未分类
6793,购物,其他/_未分类
6803,购物,其他/_未分类
6838,购物,其他/_未分类
6840,购物,其他/_未分类
6841,购物,其他/_未分类
6842,购物,其他/_未分类
6844,购物,其他/_未分类
6845,购物,其他/_未分类
6673,软件订阅,其他/_未分类
62,还款,其他/_未分类
105,还款,其他/_未分类
205,还款,其他/_未分类
229,还款,其他/_未分类
385,还款,其他/_未分类
520,还款,其他/_未分类
642,还款,其他/_未分类
745,还款,其他/_未分类
1259,还款,其他/_未分类
1317,还款,其他/_未分类
2468,还款,其他/_未分类
2667,还款,其他/_未分类
2753,还款,其他/_未分类
2754,还款,其他/_未分类
2758,还款,其他/_未分类
2951,还款,其他/_未分类
3061,还款,其他/_未分类
3070,还款,其他/_未分类
3077,还款,其他/_未分类
3078,还款,其他/_未分类
3082,还款,其他/_未分类
3096,还款,其他/_未分类
3097,还款,其他/_未分类
3121,还款,其他/_未分类
3748,还款,其他/_未分类
3778,还款,其他/_未分类
3952,还款,其他/_未分类
4429,还款,其他/_未分类
5100,还款,其他/_未分类
5102,还款,其他/_未分类
