id,old_category,new_category
207,健康/_未归类,健康/药品
1102,健康/_未归类,健康/药品
2083,健康/_未归类,健康/药品
2723,健康/_未归类,健康/药品
3264,健康/_未归类,健康/药品
3483,健康/_未归类,健康/药品
3553,健康/_未归类,健康/药品
3809,健康/_未归类,健康/药品
4003,健康/_未归类,健康/药品
4182,健康/_未归类,健康/药品
4789,健康/_未归类,健康/药品
4828,健康/_未归类,健康/药品
4863,健康/_未归类,健康/药品
4871,健康/_未归类,健康/药品
5839,健康/_未归类,健康/药品
5860,健康/_未归类,健康/药品
5873,健康/_未归类,健康/药品
5875,健康/_未归类,健康/药品
5912,健康/_未归类,健康/药品
6294,健康/_未归类,健康/药品
6456,健康/_未归类,健康/药品
6589,健康/_未归类,健康/药品
2,出行/_未归类,出行/公共交通/公交
6,出行/_未归类,出行/公共交通/公交
12,出行/_未归类,出行/公共交通/公交
13,出行/_未归类,出行/公共交通/公交
15,出行/_未归类,出行/公共交通/公交
16,出行/_未归类,出行/公共交通/公交
23,出行/_未归类,出行/公共交通/公交
34,出行/_未归类,出行/公共交通/公交
45,出行/_未归类,出行/公共交通/公交
48,出行/_未归类,出行/公共交通/公交
55,出行/_未归类,出行/公共交通/公交
60,出行/_未归类,出行/公共交通/公交
67,出行/_未归类,出行/公共交通/公交
70,出行/_未归类,出行/公共交通/公交
84,出行/_未归类,出行/公共交通/公交
109,出行/_未归类,出行/公共交通/地铁
110,出行/_未归类,出行/公共交通/公交
114,出行/_未归类,出行/公共交通/公交
131,出行/_未归类,出行/公共交通/公交
135,出行/_未归类,出行/公共交通/公交
140,出行/_未归类,出行/公共交通/地铁
153,出行/_未归类,出行/公共交通/公交
155,出行/_未归类,出行/公共交通/公交
156,出行/_未归类,出行/公共交通/公交
157,出行/_未归类,出行/公共交通/公交
161,出行/_未归类,出行/公共交通/公交
179,出行/_未归类,出行/公共交通/公交
182,出行/_未归类,出行/公共交通/公交
184,出行/_未归类,出行/公共交通/公交
190,出行/_未归类,出行/公共交通/地铁
200,出行/_未归类,出行/公共交通/公交
204,出行/_未归类,出行/公共交通/公交
209,出行/_未归类,出行/公共交通/公交
240,出行/_未归类,出行/公共交通/公交
247,出行/_未归类,出行/公共交通/公交
274,出行/_未归类,出行/公共交通/公交
280,出行/_未归类,出行/公共交通/地铁
292,出行/_未归类,出行/公共交通/公交
298,出行/_未归类,出行/公共交通/地铁
301,出行/_未归类,出行/公共交通/地铁
316,出行/_未归类,出行/公共交通/公交
338,出行/_未归类,出行/网约车
339,出行/_未归类,出行/公共交通/公交
348,出行/_未归类,出行/公共交通/公交
358,出行/_未归类,出行/长途
370,出行/_未归类,出行/公共交通/公交
375,出行/_未归类,出行/公共交通/公交
383,出行/_未归类,出行/公共交通/公交
392,出行/_未归类,出行/公共交通/公交
398,出行/_未归类,出行/公共交通/公交
404,出行/_未归类,出行/车辆相关/油费
427,出行/_未归类,出行/公共交通/公交
443,出行/_未归类,出行/公共交通/公交
466,出行/_未归类,出行/公共交通/公交
475,出行/_未归类,出行/公共交通/公交
486,出行/_未归类,出行/网约车
493,出行/_未归类,出行/公共交通/地铁
498,出行/_未归类,出行/公共交通/公交
500,出行/_未归类,出行/公共交通/公交
505,出行/_未归类,出行/公共交通/公交
509,出行/_未归类,出行/公共交通/地铁
512,出行/_未归类,出行/长途
535,出行/_未归类,出行/公共交通/公交
541,出行/_未归类,出行/公共交通/公交
549,出行/_未归类,出行/公共交通/地铁
599,出行/_未归类,出行/公共交通/公交
604,出行/_未归类,出行/公共交通/公交
611,出行/_未归类,出行/网约车
633,出行/_未归类,出行/公共交通/公交
637,出行/_未归类,出行/公共交通/公交
720,出行/_未归类,出行/网约车
779,出行/_未归类,出行/公共交通/地铁
781,出行/_未归类,出行/车辆相关
782,出行/_未归类,出行/网约车
784,出行/_未归类,出行/公共交通/公交
812,出行/_未归类,出行/公共交通/公交
820,出行/_未归类,出行/公共交通/公交
822,出行/_未归类,出行/公共交通/公交
846,出行/_未归类,出行/公共交通/公交
849,出行/_未归类,出行/公共交通/公交
860,出行/_未归类,出行/公共交通/公交
874,出行/_未归类,出行/公共交通/公交
879,出行/_未归类,出行/公共交通/公交
903,出行/_未归类,出行/公共交通/公交
918,出行/_未归类,出行/公共交通/公交
921,出行/_未归类,出行/公共交通/公交
922,出行/_未归类,出行/公共交通/公交
923,出行/_未归类,出行/网约车
929,出行/_未归类,出行/公共交通/公交
932,出行/_未归类,出行/公共交通/公交
945,出行/_未归类,出行/公共交通/公交
960,出行/_未归类,出行/公共交通/公交
976,出行/_未归类,出行/公共交通/地铁
985,出行/_未归类,出行/公共交通/地铁
987,出行/_未归类,出行/公共交通/公交
988,出行/_未归类,出行/公共交通/公交
991,出行/_未归类,出行/公共交通/公交
994,出行/_未归类,出行/公共交通/公交
997,出行/_未归类,出行/公共交通/公交
1005,出行/_未归类,出行/公共交通/公交
1020,出行/_未归类,出行/公共交通/公交
1032,出行/_未归类,出行/公共交通/公交
1040,出行/_未归类,出行/公共交通/地铁
1047,出行/_未归类,出行/公共交通/公交
1051,出行/_未归类,出行/公共交通/公交
1059,出行/_未归类,出行/公共交通/公交
1083,出行/_未归类,出行/公共交通/公交
1089,出行/_未归类,出行/网约车
1093,出行/_未归类,出行/网约车
1106,出行/_未归类,出行/长途
1114,出行/_未归类,出行/公共交通/公交
1121,出行/_未归类,出行/公共交通/公交
1125,出行/_未归类,出行/公共交通/公交
1130,出行/_未归类,出行/公共交通/公交
1133,出行/_未归类,出行/公共交通/公交
1134,出行/_未归类,出行/网约车
1161,出行/_未归类,出行/公共交通/地铁
1168,出行/_未归类,出行/公共交通/公交
1172,出行/_未归类,出行/公共交通/公交
1185,出行/_未归类,出行/公共交通/公交
1218,出行/_未归类,出行/公共交通/地铁
1227,出行/_未归类,出行/公共交通/地铁
1235,出行/_未归类,出行/网约车
1253,出行/_未归类,出行/公共交通/公交
1271,出行/_未归类,出行/网约车
1279,出行/_未归类,出行/公共交通/地铁
1282,出行/_未归类,出行/网约车
1365,出行/_未归类,出行/公共交通/地铁
1371,出行/_未归类,出行/网约车
1374,出行/_未归类,出行/公共交通/地铁
1378,出行/_未归类,出行/公共交通/地铁
1394,出行/_未归类,出行/公共交通/公交
1406,出行/_未归类,出行/长途
1416,出行/_未归类,出行/公共交通/地铁
1426,出行/_未归类,出行/公共交通/地铁
1430,出行/_未归类,出行/公共交通/地铁
1431,出行/_未归类,出行/公共交通/地铁
1450,出行/_未归类,出行/公共交通/地铁
1464,出行/_未归类,出行/公共交通/地铁
1468,出行/_未归类,出行/公共交通/地铁
1476,出行/_未归类,出行/公共交通/地铁
1478,出行/_未归类,出行/公共交通/地铁
1497,出行/_未归类,出行/公共交通/地铁
1501,出行/_未归类,出行/公共交通/地铁
1510,出行/_未归类,出行/公共交通/地铁
1516,出行/_未归类,出行/公共交通/地铁
1520,出行/_未归类,出行/公共交通/公交
1524,出行/_未归类,出行/公共交通/公交
1531,出行/_未归类,出行/公共交通/公交
1544,出行/_未归类,出行/公共交通/地铁
1555,出行/_未归类,出行/公共交通/地铁
1556,出行/_未归类,出行/公共交通/地铁
1560,出行/_未归类,出行/公共交通/地铁
1583,出行/_未归类,出行/公共交通/公交
1596,出行/_未归类,出行/公共交通/公交
1598,出行/_未归类,出行/公共交通/公交
1601,出行/_未归类,出行/公共交通/公交
1605,出行/_未归类,出行/公共交通/公交
1613,出行/_未归类,出行/公共交通/公交
1619,出行/_未归类,出行/公共交通/公交
1620,出行/_未归类,出行/网约车
1626,出行/_未归类,出行/网约车
1628,出行/_未归类,出行/公共交通/公交
1634,出行/_未归类,出行/公共交通/公交
1639,出行/_未归类,出行/公共交通/公交
1642,出行/_未归类,出行/公共交通/公交
1644,出行/_未归类,出行/公共交通/公交
1648,出行/_未归类,出行/公共交通/公交
1651,出行/_未归类,出行/公共交通/地铁
1671,出行/_未归类,出行/公共交通/公交
1672,出行/_未归类,出行/公共交通/公交
1676,出行/_未归类,出行/公共交通/公交
1678,出行/_未归类,出行/公共交通/公交
1680,出行/_未归类,出行/公共交通/公交
1684,出行/_未归类,出行/网约车
1694,出行/_未归类,出行/公共交通/地铁
1695,出行/_未归类,出行/网约车
1697,出行/_未归类,出行/公共交通/公交
1701,出行/_未归类,出行/公共交通/公交
1703,出行/_未归类,出行/公共交通/公交
1706,出行/_未归类,出行/网约车
1707,出行/_未归类,出行/网约车
1710,出行/_未归类,出行/公共交通/公交
1714,出行/_未归类,出行/公共交通/公交
1717,出行/_未归类,出行/公共交通/公交
1719,出行/_未归类,出行/公共交通/公交
1726,出行/_未归类,出行/公共交通/地铁
1732,出行/_未归类,出行/公共交通/地铁
1737,出行/_未归类,出行/公共交通/公交
1741,出行/_未归类,出行/公共交通/公交
1743,出行/_未归类,出行/公共交通/公交
1745,出行/_未归类,出行/公共交通/公交
1748,出行/_未归类,出行/网约车
1749,出行/_未归类,出行/公共交通/公交
1754,出行/_未归类,出行/网约车
1755,出行/_未归类,出行/公共交通/地铁
1757,出行/_未归类,出行/公共交通/公交
1763,出行/_未归类,出行/公共交通/公交
1784,出行/_未归类,出行/公共交通/公交
1788,出行/_未归类,出行/公共交通/公交
1789,出行/_未归类,出行/公共交通/公交
