id,old_category,old_note
207,健康/_未分类,
1102,健康/_未分类,
1563,健康/_未分类,南京新声大药房有限公司
1632,健康/_未分类,医药
2083,健康/_未分类,
2474,健康/_未分类,药💊
2723,健康/_未分类,
3056,健康/_未分类,感冒药
3264,健康/_未分类,
3483,健康/_未分类,
3553,健康/_未分类,
3809,健康/_未分类,
4003,健康/_未分类,弟弟感冒发热
4149,健康/_未分类,美团
4182,健康/_未分类,
4278,健康/_未分类,美团
4315,健康/_未分类,美团平台商户
4324,健康/_未分类,美团平台商户
4394,健康/_未分类,美团
4501,健康/_未分类,神经性皮炎
4783,健康/_未分类,药物
4789,健康/_未分类,
4811,健康/_未分类,眼药水
4828,健康/_未分类,
4841,健康/_未分类,蓝芩
4852,健康/_未分类,蓝芩
4863,健康/_未分类,
4868,健康/_未分类,滴眼液
4871,健康/_未分类,
5162,健康/_未分类,医药 皮炎
5177,健康/_未分类,烫伤膏
5677,健康/_未分类,美团
5835,健康/_未分类,感冒药
5839,健康/_未分类,
5860,健康/_未分类,
5873,健康/_未分类,
5875,健康/_未分类,
5912,健康/_未分类,
6294,健康/_未分类,
6456,健康/_未分类,
6589,健康/_未分类,
6749,健康/_未分类,南京市中医院 自费医药费
6786,健康/_未分类,看病的
2,出行/_未分类,
6,出行/_未分类,
12,出行/_未分类,
13,出行/_未分类,
15,出行/_未分类,
16,出行/_未分类,
23,出行/_未分类,
34,出行/_未分类,
45,出行/_未分类,
48,出行/_未分类,
55,出行/_未分类,
60,出行/_未分类,
67,出行/_未分类,
70,出行/_未分类,
84,出行/_未分类,
92,出行/_未分类,停车费
109,出行/_未分类,
110,出行/_未分类,
114,出行/_未分类,
125,出行/_未分类,自行车🚲
131,出行/_未分类,
135,出行/_未分类,
140,出行/_未分类,
153,出行/_未分类,
155,出行/_未分类,
156,出行/_未分类,
157,出行/_未分类,
161,出行/_未分类,
179,出行/_未分类,
182,出行/_未分类,
184,出行/_未分类,
190,出行/_未分类,
200,出行/_未分类,
204,出行/_未分类,
209,出行/_未分类,
240,出行/_未分类,
247,出行/_未分类,
274,出行/_未分类,
280,出行/_未分类,
292,出行/_未分类,
298,出行/_未分类,
301,出行/_未分类,
316,出行/_未分类,
338,出行/_未分类,
339,出行/_未分类,
348,出行/_未分类,
358,出行/_未分类,
370,出行/_未分类,
375,出行/_未分类,
383,出行/_未分类,
392,出行/_未分类,
398,出行/_未分类,
404,出行/_未分类,加油
427,出行/_未分类,
443,出行/_未分类,
466,出行/_未分类,
475,出行/_未分类,
486,出行/_未分类,
493,出行/_未分类,
498,出行/_未分类,
500,出行/_未分类,
505,出行/_未分类,
509,出行/_未分类,
512,出行/_未分类,
529,出行/_未分类,美团小车
535,出行/_未分类,
541,出行/_未分类,
549,出行/_未分类,
579,出行/_未分类,停车费
599,出行/_未分类,
604,出行/_未分类,
611,出行/_未分类,骑行卡
